,Unnamed: 0,읍면동명,이용자수,이용금액,업종명,등수,행정동코드,시군구명,행정동
0,0,일도1동,86754,11100658240,문화레저,0,5011051000,제주시,제주시 일도1동
1,1,송산동,49830,5634553308,문화레저,1,5013051000,서귀포시,서귀포시 송산동
2,2,연동,45576,6648606611,문화레저,2,5011065000,제주시,제주시 연동
3,3,천지동,34831,4572865091,문화레저,3,5013054000,서귀포시,서귀포시 천지동
4,4,정방동,34746,4492369871,문화레저,4,5013052000,서귀포시,서귀포시 정방동
5,5,중앙동,34746,4492369871,문화레저,5,5013053000,서귀포시,서귀포시 중앙동
6,6,이도2동,17109,2124521422,문화레저,6,5011054000,제주시,제주시 이도2동
7,7,동홍동,14440,1046820327,문화레저,7,5013057000,서귀포시,서귀포시 동홍동
8,8,조천읍,11327,516264618,문화레저,8,5011025900,제주시,제주시 조천읍
9,9,애월읍,10984,322631579,문화레저,9,5011025300,제주시,제주시 애월읍
10,10,노형동,10831,1968764080,문화레저,10,5011066000,제주시,제주시 노형동
11,11,일도2동,10426,826370200,문화레저,11,5011052000,제주시,제주시 일도2동
12,12,삼양동,10298,386228649,문화레저,12,5011061000,제주시,제주시 삼양동
13,13,표선면,10099,317270900,문화레저,13,5013032000,서귀포시,서귀포시 표선면
14,14,건입동,9240,431720730,문화레저,14,5011059000,제주시,제주시 건입동
15,15,우도면,9024,393045450,문화레저,15,5011033000,제주시,제주시 우도면
16,16,오라동,8679,1136485853,문화레저,16,5011064000,제주시,제주시 오라동
17,17,대정읍,7939,610357789,문화레저,17,5013025000,서귀포시,서귀포시 대정읍
18,18,예래동,6813,556239050,문화레저,18,5013062000,서귀포시,서귀포시 예래동
19,19,도두동,6728,248220900,문화레저,19,5011069000,제주시,제주시 도두동
20,20,중문동,6605,285914721,문화레저,20,5013061000,서귀포시,서귀포시 중문동
21,21,아라동,5634,633881510,문화레저,21,5011063000,제주시,제주시 아라동
22,22,한림읍,5491,229198185,문화레저,22,5011025000,제주시,제주시 한림읍
23,23,외도동,4262,149968300,문화레저,23,5011067000,제주시,제주시 외도동
24,24,이도1동,4130,491640077,문화레저,24,5011053000,제주시,제주시 이도1동
25,25,용담2동,4108,214288234,문화레저,25,5011058000,제주시,제주시 용담2동
26,26,삼도2동,3816,420807658,문화레저,26,5011056000,제주시,제주시 삼도2동
27,27,화북동,3605,398229858,문화레저,27,5011060000,제주시,제주시 화북동
28,28,성산읍,3353,254941750,문화레저,28,5013025900,서귀포시,서귀포시 성산읍
29,29,구좌읍,3349,99702350,문화레저,29,5011025600,제주시,제주시 구좌읍
30,30,남원읍,3177,143692623,문화레저,30,5013025300,서귀포시,서귀포시 남원읍
31,31,한경면,2906,76881225,문화레저,31,5011031000,제주시,제주시 한경면
32,32,이호동,2176,110831759,문화레저,32,5011068000,제주시,제주시 이호동
33,33,안덕면,1986,135499450,문화레저,33,5013031000,서귀포시,서귀포시 안덕면
34,34,삼도1동,1920,593586280,문화레저,34,5011055000,제주시,제주시 삼도1동
35,35,용담1동,1587,156303439,문화레저,35,5011057000,제주시,제주시 용담1동
36,36,영천동,1274,169131410,문화레저,36,5013056000,서귀포시,서귀포시 영천동
37,37,추자면,408,23445016,문화레저,37,5011032000,제주시,제주시 추자면
38,38,대륜동,372,99635200,문화레저,38,5013059000,서귀포시,서귀포시 대륜동
39,39,서홍동,85,80495220,문화레저,39,5013058000,서귀포시,서귀포시 서홍동
40,40,대천동,40,19419000,문화레저,40,5013060000,서귀포시,서귀포시 대천동
